Spawning Year,Spawners,Variance,CV
1992,5061,1055692,0.20
1993,5028,1042198,0.20
1994,9510,3819903,0.21
1995,10624,312922,0.05
1996,17777,478644,0.04
1997,9612,165747,0.04
1998,1547,39193,0.13
1999,8130,116723,0.04
2000,8183,111601,0.04
2001,8984,134869,0.04
2002,12885,177793,0.03
2003,14490,190125,0.03
2004,10153,356071,0.06
2005,3248,55591,0.07
2006,5087,90882,0.06
2007,1010,9559,0.10
2008,4411,119934,0.08
2009,538,3239,0.11
2010,5258,98185,0.06
2011,2731,31873,0.07
2012,5702,245168,0.09
2013,3445,59880,0.07
2014,7122,138963,0.05
2015,4836,33593,0.04
2016,2180,50216,0.10
2017,1702,32287,0.11
2018,1631,35648,0.12
