"year","max_flow_fall","mean_flow_aug_rearing","mean_sep_oct_flow","mean_jul_flow","max_jan_feb_flow"
1911,11.3000001907349,11.0561290864022,7.53950824893889,NA,NA
1912,NA,11.3970967723477,NA,22.6193548633206,NA
1913,NA,NA,14.7957377433777,36.9096776285479,NA
1914,NA,10.6003226003339,NA,NA,NA
1915,NA,19.4580646022674,NA,23.8387098620015,NA
1916,9.48999977111816,9.332580689461,7.5345901895742,70.9580641715757,NA
1917,NA,6.62322578122539,4.6813114822888,49.506451945151,NA
1918,NA,NA,NA,24.1616129721365,NA
1919,3.96000003814697,NA,NA,NA,5.65999984741211
1957,8.8100004196167,3.68709675727352,4.7454098638941,NA,13.8999996185303
1958,59.2000007629395,9.05741928469751,6.05426226678442,11.2777419551726,24
1959,69.4000015258789,5.53838708323817,14.338360716085,42.6193548325569,NA
1960,21.6000003814697,5.19935487162682,6.25672131288247,19.5722580571328,25
1961,30,9.75741941698136,8.24918036773557,18.2625807023817,64
1962,NA,9.32741941944245,NA,28.1645162336288,65.0999984741211
1963,162,13.2322581814181,8.00475408210129,20.5096772716891,30.6000003814697
1964,22.7000007629395,8.21129028258785,14.7049180327869,54.7612905194682,14.6000003814697
1965,32.7999992370605,9.89806449028753,5.073442634989,20.7764516953499,6.80000019073486
1966,42.5,7.0103225784917,7.00377051165847,31.8612901933732,13.5
1967,107,10.1829033205586,6.27196717653118,27.3838708939091,92.3000030517578
1968,24.3999996185303,7.10161292168402,9.61950815701094,44.4774192687004,15.8999996185303
1969,14.6000003814697,3.88903228698238,8.73409834064421,22.4193549002371,5.46999979019165
1970,5.46999979019165,9.9987096786499,3.88803276859346,11.1564516559724,13.5
1971,8.27000045776367,15.4893548411708,5.98081967869743,53.5258058117282,8.5
1972,14.6999998092651,4.05064516682779,6.90885246777144,69.6096771609399,8.72000026702881
1973,24.1000003814697,16.6367742169288,4.68327869743597,14.3919356407658,19.7999992370605
1974,8.27000045776367,8.63967746303928,5.5329508468753,74.4580649099042,6.23000001907349
1975,88.0999984741211,25.0806452843451,7.36540985889122,46.4516126571163,22.2999992370605
1976,14.8999996185303,4.33225809374163,13.2742622953946,54.1483871090797,13.8000001907349
1977,28.6000003814697,5.07290322549881,4.11377047319881,9.59806446875296,6.94000005722046
1978,55.5,3.24677420431568,7.59901643190227,22.3887096066629,8.35000038146973
1979,74.6999969482422,5.97741937637329,3.50885245839103,9.89032253142326,13.8999996185303
1980,236,10.3009676010378,7.21278690119259,16.092580610706,51.0999984741211
1981,20.2999992370605,13.7941935754591,8.06770490427486,33.5677418247346,13.1000003814697
1982,16,7.522903227037,8.26360653267532,51.1387096528084,16.6000003814697
1983,26.8999996185303,6.66290323195919,7.1404917748248,24.0419351823868,156
1984,12,3.1361290408719,6.22606561223014,28.3425805184149,7.90000009536743
1985,19.8999996185303,10.4380644367587,5.68360654252475,10.8996774765753,84
1986,19.1000003814697,4.00806448536534,7.48688525840885,19.0774193425332,26
1987,4.48999977111816,4.34129035088324,3.35049183642278,10.022580592863,3.45000004768372
1988,39.2999992370605,10.2458064171576,5.9108196594676,12.121612856465,8.75
1989,74.8000030517578,6.96806449274863,8.46754095984287,14.2464514701597,12.3000001907349
1990,226,13.2061289510419,11.683934391522,29.2870967926518,111
1991,41.2000007629395,5.07258062208852,8.2501639616294,43.7838709738947,42.4000015258789
1992,15.5,27.2677418493455,6.29098361437438,11.9280645616593,6.55999994277954
1993,14.8000001907349,5.02967743719778,8.47098359123605,25.4258062301143,11.3999996185303
1994,30.3999996185303,8.85483872505927,4.14950820266223,11.1583870303246,34
1995,208,8.43516132908483,8.04836070732992,17.6774194163661,29
1996,27.7999992370605,13.0354838217458,6.05590163684282,25.4677419047202,18.2999992370605
1997,35.2000007629395,4.75451614779811,12.8563934935898,42.5354836986911,12.8000001907349
1998,35.7000007629395,19.0206452031289,4.06655739565365,16.2051612177203,13.8000001907349
1999,106,9.92096773270637,8.02131146290263,77.9903229744204,11.3000001907349
2000,27.5,6.04677417201381,8.36639345669355,27.4548387835103,6.69999980926514
2001,38.2000007629395,7.91096774993404,4.7952458975745,11.2196774328909,71.8000030517578
2002,14.3000001907349,3.4758064516129,4.33196719748075,30.9258062301144,20.2999992370605
2003,180,4.29709679080594,14.1114754442309,9.42258064208492,8.89000034332275
2004,96.8000030517578,4.01096770840306,6.66147541608967,7.28032253634545,74.0999984741211
2005,50,4.44290322642173,6.42245903953177,13.0254838389735,24.7000007629395
2006,156,6.86967742058539,4.232950832023,11.3906452271246,16
2007,116,7.59967743965887,8.72229511620568,24.6429032356508,9
2008,23.5,4.04774192840822,6.39196721843032,19.1751612386396,5.59999990463257
2009,43,8.89709681849325,4.67868852615357,7.49709673850767,20.7999992370605
2010,19.3999996185303,13.7422578719354,9.05131148510292,29.6354838032876,16.3999996185303
2011,31,10.596774132021,8.15639350453361,49.7387099112234,18.7999992370605
2012,48.4000015258789,6.80419355823148,6.83622950413188,50.1548383774296,6.46999979019165
2013,16.6000003814697,6.62000002399568,8.35049178952076,27.9709677850046,8.36999988555908
2014,40.9000015258789,NA,6.05639342401849,15.3048387958157,NA
