brood_year,total_spawners,wild_spawners,prop_3yr_returns,prop_4yr_returns,prop_5yr_returns,wild_3yr_recruits,wild_4yr_recruits,wild_5yr_recruits,wild_recruits,hatchery_spawners,hatchery_3yr_recruits,hatchery_4yr_recruits,hatchery_5yr_recruits,Fed Fall,Fed Fry,Smolt 0+,Smolt 1+,Unfed,total_hatchery_release,hatchery_recruits,hatchery_survival,percent_1+_smolts
1984,,,,,,,,,,,,,,,,231150,,,231150,430,0.001860,0
1985,,,0.09,0.82,0.09,229,3249,318,3797,NA,,,,109210,,279450,66050,,454710,950,0.002089,0.145257417
1986,,,0.00,0.75,0.25,43,2443,16,2501,NA,,,,105200,87575,44900,,,237675,460,0.001934,0
1987,4670,3606,0.00,0.97,0.03,86,628,0,714,1064,4,1031,29,109834,,396812,74895,,581541,2360,0.004058,0.128787136
1988,3120,2585,0.09,0.75,0.17,18,4168,47,4233,535,47,398,89,,,640526,170157,,810683,834,0.001029,0.209893386
1989,4290,3399,0.01,0.96,0.03,0,2387,740,3126,891,11,852,28,,,399124,211326,,610450,3703,0.006065,0.346180686
1990,3302,2847,0.03,0.86,0.11,41,2463,101,2604,455,14,390,51,,,265100,216738,,481838,4845,0.010055,0.449815083
1991,3131,661,0.03,0.95,0.02,0,4304,1472,5776,2470,65,2346,58,,,292614,214749,,507363,6056,0.011935,0.423265
1992,4892,4168,0.00,1.00,0.00,36,15291,781,16108,724,0,724,0,,,265789,226787,,492576,760,0.001542,0.46041017
1993,4860,2474,0.02,0.96,0.02,277,8104,63,8444,2386,39,2302,45,,,25000,167260,,192260,534,0.002775,0.869967752
1994,9268,3202,0.00,0.77,0.23,163,1140,263,1566,6066,0,4665,1401,,,,159458,,159458,735,0.004609,1
1995,10624,4441,0.01,0.97,0.02,31,2722,178,2930,6183,50,5992,141,,,,235027,,235027,4613,0.019629,1
1996,17777,17041,0.02,0.90,0.09,74,4943,886,5904,736,12,661,64,,158126,,187306,,345432,3201,0.009266,0.542236967
1997,9612,9048,0.02,0.90,0.09,246,4924,714,5883,564,10,506,49,,,43490,142462,,185952,3069,0.016502,0.76612244
1998,1547,1234,0.02,0.92,0.05,0,8645,0,8645,313,8,289,16,,,,69792,,69792,3018,0.043247,1
1999,8130,3059,0.02,0.89,0.09,192,10943,150,11285,5071,123,4512,436,,71077,,157173,,228250,3626,0.015886,0.688600219
2000,8183,5367,0.05,0.92,0.03,0,9097,686,9783,2816,129,2593,93,,55363,,151302,,206665,852,0.004123,0.732112356
2001,8984.405073,5810,0.00,0.85,0.15,155,2060,132,2347,3175,0,2690,484,,30125,,171138,,201263,398,0.001979,0.850320228
2002,12885,9551,0.02,0.91,0.07,0,4562,42,4604,3334,67,3018,249,,47142,,182986,,230128,358,0.001557,0.795148787
2003,14490.40239,10943,0.00,1.00,0.00,26,827,220,1073,3547,0,3547,0,47003,,,159806,,206809,124,0.000601,0.772722657
2004,10152.63002,9401,0.02,0.97,0.02,61,3325,11,3397,751,12,727,12,,3205,,141243,,144448,783,0.005424,0.977812085
2005,3247.56338,2747,0.00,0.75,0.25,32,414,42,488,501,0,376,125,,30000,,140523,,170523,139,0.000815,0.824070653
2006,5086.625986,4720,0.01,0.97,0.03,9,2864,106,2979,367,2,355,10,,54428,,154866,,209294,2283,0.010907,0.739944767
2007,1010,930,0.07,0.89,0.04,38,1988,258,2284,80,5,71,4,,62268,,147266,5447,214981,601,0.002796,0.685018676
2008,4410.5,3576,0.01,0.93,0.06,53,4726,145,4924,834,7,775,51,,54595,,131912,,186507,677,0.003630,0.707276402
2009,537.7083333,434,0.02,0.95,0.03,122,1766,487,2374,103,2,99,3,,5620,,211920,,217540,1406,0.006462,0.974165671
2010,5258,2944,0.01,0.97,0.01,42,5934,244,6220,2314,30,2252,33,,54266,,196017,,250283,645,0.002576,0.783181439
2011,2731,2147,0.02,0.93,0.05,141,2977,101,3218,584,14,541,29,,16196,,218965,,235161,1364,0.005799,0.931128036
2012,5702,5106,0.02,0.93,0.05,71,1230,59,1359,596,14,552,30,,39950,,200901,,240851,840,0.003486,0.834129815
2013,3445,1952,0.02,0.90,0.07,29,721,0,750,1493,32,1350,111,,17504,,177549,,195053,836,0.004287,0.910260288
2014,7121.876512,6561,0.021421268,0.904337196,0.074241536,17,0,0,17,560,12,507,42,,28303,,175287,,203590,19,0.000095,0.860980402
2015,4719,3292,0.021421268,0.904337196,0.074241536,0,0,0,0,1427,31,1291,106,,6626,,173302,,179928,0,0.000000,0.963174159
2016,2180,1360,0.021421268,0.904337196,0.074241536,0,0,0,0,820,18,742,61,,10587,,157587,,168174,0,0.000000,0.937047344
2017,1702,797,0.021421268,0.904337196,0.074241536,0,0,0,0,905,19,819,67,,2492,,,,2492,0,0.000000,0
