brood_year,wild_recruits,total_spawners,wild_spawners,hatchery_spawners,CV,recruits_per_spawner,aug_mean_flow,ice_days,sep_dec_max_flow,aug_mean_flow_rear,smolt_age3_survival
1992,17044,5061,3816,1245,0.2,3.367713891,5.072580622,98,15.5,27.26774185,0.000986
1993,11252,5028,2580,2448,0.2,2.23786794,27.26774185,35,15.19999981,5.029677437,0.007657
1994,1951,9510,3686,5824,0.21,0.205152471,5.029677437,67,30.39999962,8.854838725,0.010722
1995,2808,10625,4968,5657,0.05,0.264282353,8.854838725,44,208,8.435161329,0.058187
1996,6836,17778,17101,677,0.04,0.384520193,8.435161329,45,27.79999924,13.03548382,0.046161
1997,7115,9612,9148,464,0.04,0.740220558,13.03548382,24,35.20000076,4.754516148,0.06253
1998,10502,1547,1164,383,0.13,6.788623142,4.754516148,19,35.70000076,19.0206452,0.125118
1999,15935,8130,2674,5456,0.04,1.9600246,19.0206452,0,106,9.920967733,0.063087
2000,9653,8183,5134,3049,0.04,1.179640719,9.920967733,79,27.5,6.046774172,0.008246
2001,4764,8984,5471,3513,0.04,0.530276046,6.046774172,14,38.20000076,7.91096775,0.013566
2002,7685,12887,9302,3585,0.03,0.596337394,7.91096775,22,14.30000019,3.475806452,0.01274
2003,1282,14491,10632,3859,0.03,0.088468705,3.475806452,61,180,4.297096791,0.002186
2004,4986,10152,9338,814,0.06,0.491134752,4.297096791,25,96.80000305,4.010967708,0.019655
2005,1115,3248,2705,543,0.07,0.343288177,4.010967708,47,50,4.442903226,0.004146
2006,3518,5087,4442,645,0.06,0.691566739,4.442903226,72,156,6.869677421,0.038698
2007,2367,1009,896,113,0.1,2.345887017,6.869677421,93,116,7.59967744,0.011356
2008,6645,4411,3571,840,0.08,1.50646112,7.59967744,93,23.5,4.047741928,0.012564
2009,4312,538,431,107,0.11,8.014869888,4.047741928,41,43,8.897096818,0.018779
2010,7082,5257,2853,2404,0.06,1.347156173,8.897096818,92,20.89999962,13.74225787,0.004866
2011,4703,2731,2153,578,0.07,1.722079824,13.74225787,30,31,10.59677413,0.018387
2012,1901,5702,5121,581,0.09,0.333391792,10.59677413,93,48.40000153,6.804193558,0.011627
2013,1011,3445,1974,1471,0.07,0.293468795,6.804193558,116,18.20000076,6.620000024,0.014802
