"","mean","se_mean","sd","10%","90%","n_eff","Rhat"
"alpha",3.117232,0.01537,1.088694,1.95612,4.423454,5017.009161,1.000951
"betaW",0.000142,1e-06,4.4e-05,8.7e-05,0.000197,7369.582614,1.000404
"betaH",0.000262,1e-06,9e-05,0.000149,0.000375,10328.010108,1.000138
"b1",0.005989,0.002654,0.207335,-0.253334,0.267098,6102.18601,1.000062
"b2",0.248134,0.001983,0.173204,0.034954,0.466096,7628.685316,1.000058
"b4",-0.34797,0.002865,0.212692,-0.611691,-0.077098,5509.726301,1.00012
"b5",0.460642,0.00217,0.177873,0.233811,0.684667,6720.414863,1.000174
"tau",0.747978,0.002268,0.14324,0.584568,0.933316,3990.26437,1.000904
"pp_log_RS[1]",1.127206,0.009305,0.991812,-0.127135,2.361216,11360.262535,1.000007
"pp_log_RS[2]",0.804644,0.008974,0.971131,-0.410701,2.038509,11710.226875,1.000082
"pp_log_RS[3]",-1.240198,0.007289,0.865678,-2.319749,-0.15106,14106.716045,0.999919
"pp_log_RS[4]",-0.999292,0.007698,0.877801,-2.094398,0.106466,13001.196934,0.999994
"pp_log_RS[5]",-1.07417,0.008328,0.968534,-2.282023,0.132118,13526.783422,1.000111
"pp_log_RS[6]",-0.134594,0.007473,0.868879,-1.215416,0.952495,13519.788087,0.999977
"pp_log_RS[7]",1.886413,0.008813,0.994237,0.621162,3.118393,12725.859873,1.00018
"pp_log_RS[8]",0.417125,0.00745,0.899207,-0.722623,1.548375,14569.573538,0.999998
"pp_log_RS[9]",-0.861911,0.006894,0.813957,-1.862456,0.157864,13938.778041,0.999924
"pp_log_RS[10]",-0.363212,0.007793,0.849202,-1.427098,0.703288,11873.307908,0.999903
"pp_log_RS[11]",-1.299569,0.007027,0.839372,-2.343998,-0.266245,14266.543129,1.000328
"pp_log_RS[12]",-2.105036,0.007212,0.855805,-3.155676,-1.036437,14082.988448,0.999917
"pp_log_RS[13]",-0.711831,0.007409,0.843143,-1.770758,0.338155,12951.082362,1.000001
"pp_log_RS[14]",0.073397,0.008038,0.849706,-0.992506,1.136641,11173.771071,0.999919
"pp_log_RS[15]",-0.240078,0.006971,0.812765,-1.259381,0.775452,13592.972867,1.000005
"pp_log_RS[16]",0.343697,0.007531,0.832989,-0.698829,1.394452,12232.684614,1.00016
"pp_log_RS[17]",-0.483003,0.00764,0.824876,-1.507885,0.554553,11657.313181,0.999884
"pp_log_RS[18]",0.928475,0.008547,0.850394,-0.1308,1.993612,9898.923664,1.000044
"pp_log_RS[19]",0.082558,0.006807,0.822645,-0.945233,1.102133,14607.424164,1.000006
"pp_log_RS[20]",1.256586,0.008278,0.845723,0.198551,2.301286,10438.328767,0.999978
"pp_log_RS[21]",-0.262407,0.007116,0.829351,-1.28834,0.777318,13582.035521,0.99992
"pp_log_RS[22]",-0.482072,0.007671,0.853855,-1.561376,0.587212,12388.592404,0.999879
"log_lik[1]",-0.969866,0.006548,0.53041,-1.602846,-0.500745,6562.308629,1.000035
"log_lik[2]",-0.908527,0.006182,0.448334,-1.451391,-0.486622,5258.786106,1.000664
"log_lik[3]",-0.882557,0.004044,0.372592,-1.347915,-0.505358,8486.719752,1.000083
"log_lik[4]",-0.884253,0.004218,0.379698,-1.362157,-0.504042,8101.520328,1.000172
"log_lik[5]",-0.934123,0.005672,0.491385,-1.507887,-0.493548,7504.208434,1.000088
"log_lik[6]",-0.77949,0.003773,0.294567,-1.136792,-0.465138,6095.256108,1.000452
"log_lik[7]",-0.965673,0.007677,0.529361,-1.608331,-0.494335,4754.882144,1.000519
"log_lik[8]",-0.879551,0.004944,0.406322,-1.362169,-0.489297,6755.015866,1.00067
"log_lik[9]",-1.721889,0.005358,0.542381,-2.451375,-1.117375,10247.412205,0.999903
"log_lik[10]",-0.810628,0.003791,0.302816,-1.18327,-0.490033,6379.374195,1.000183
"log_lik[11]",-1.306629,0.004688,0.513444,-1.982475,-0.757963,11997.100382,1.000019
"log_lik[12]",-0.843892,0.003814,0.330209,-1.254397,-0.49684,7496.034027,1.000307
"log_lik[13]",-0.726501,0.003356,0.247452,-1.036288,-0.446363,5437.519739,1.000451
"log_lik[14]",-2.030129,0.009806,0.843122,-3.16429,-1.08666,7391.891819,1.000203
"log_lik[15]",-0.69994,0.003239,0.217205,-0.980246,-0.439183,4497.207516,1.000971
"log_lik[16]",-0.954494,0.004323,0.342061,-1.397957,-0.58529,6259.890745,1.000808
"log_lik[17]",-1.491605,0.006328,0.569619,-2.250283,-0.881737,8103.84539,1.00023
"log_lik[18]",-2.000822,0.010959,0.882026,-3.188346,-1.032042,6478.111175,1.000159
"log_lik[19]",-0.739331,0.003223,0.237669,-1.047098,-0.460817,5436.242348,1.000552
"log_lik[20]",-1.252843,0.006306,0.531358,-1.950372,-0.707773,7099.978536,1.000427
"log_lik[21]",-1.360763,0.004932,0.496915,-2.022509,-0.814741,10152.766899,1.000187
"log_lik[22]",-1.283443,0.00618,0.578757,-2.064773,-0.685682,8770.558973,1.000318
"lp__",-4.16409,0.042731,2.499974,-7.59682,-1.312604,3422.853575,1.001109
